 ,Area(Ventricle),Mean(Ventricle),StdDev(Ventricle),Min(Ventricle),Max(Ventricle),Feret(Ventricle),FeretX(Ventricle),FeretY(Ventricle),FeretAngle(Ventricle),MinFeret(Ventricle)
1,29848,119.343,14.140,66,189,198,521,460,90,192
2,29848,123.119,14.518,64,192,198,521,460,90,192
3,29848,123.122,14.521,64,192,198,521,460,90,192
4,29848,128.169,14.490,68,193,198,521,460,90,192
5,29848,131.998,14.945,66,192,198,521,460,90,192
6,29848,132.381,15.019,66,191,198,521,460,90,192
7,29848,132.475,14.746,66,189,198,521,460,90,192
8,29848,131.262,14.982,69,187,198,521,460,90,192
9,29848,130.310,15.001,71,186,198,521,460,90,192
10,29848,129.816,15.062,71,188,198,521,460,90,192
11,29848,129.812,15.066,69,188,198,521,460,90,192
12,29848,128.921,14.869,69,187,198,521,460,90,192
13,29848,128.620,14.640,71,186,198,521,460,90,192
14,29848,128.007,14.261,68,187,198,521,460,90,192
15,29848,126.532,14.162,69,188,198,521,460,90,192
16,29848,125.424,13.825,70,188,198,521,460,90,192
17,29848,123.790,13.611,67,186,198,521,460,90,192
18,29848,123.788,13.612,67,186,198,521,460,90,192
19,29848,121.841,13.116,67,186,198,521,460,90,192
20,29848,119.676,13.021,67,185,198,521,460,90,192
21,29848,118.250,12.606,64,184,198,521,460,90,192
22,29848,116.156,13.011,63,188,198,521,460,90,192
23,29848,115.468,13.009,62,188,198,521,460,90,192
24,29848,114.933,13.011,60,187,198,521,460,90,192
25,29848,113.844,13.319,58,187,198,521,460,90,192
26,29848,113.860,13.320,58,187,198,521,460,90,192
27,29848,115.290,13.549,63,186,198,521,460,90,192
28,29848,122.644,14.334,70,190,198,521,460,90,192
29,29848,129.353,14.696,74,188,198,521,460,90,192
30,29848,133.248,14.814,77,188,198,521,460,90,192
31,29848,133.611,14.839,76,188,198,521,460,90,192
32,29848,134.228,14.843,76,187,198,521,460,90,192
33,29848,133.493,15.077,74,184,198,521,460,90,192
