 ,Area(Ventricle),Mean(Ventricle),StdDev(Ventricle),Min(Ventricle),Max(Ventricle),Feret(Ventricle),FeretX(Ventricle),FeretY(Ventricle),FeretAngle(Ventricle),MinFeret(Ventricle)
1,29848,110.334,17.267,1,155,198,521,460,90,192
2,29848,114.943,19.439,1,166,198,521,460,90,192
3,29848,117.884,20.365,1,167,198,521,460,90,192
4,29848,119.770,20.681,1,170,198,521,460,90,192
5,29848,120.247,20.728,1,176,198,521,460,90,192
6,29848,120.243,20.732,1,176,198,521,460,90,192
7,29848,120.941,21.182,1,174,198,521,460,90,192
8,29848,121.227,21.092,1,176,198,521,460,90,192
9,29848,120.471,20.464,1,172,198,521,460,90,192
10,29848,119.182,20.156,1,169,198,521,460,90,192
11,29848,119.176,20.151,1,169,198,521,460,90,192
12,29848,119.035,20.068,1,169,198,521,460,90,192
13,29848,119.108,20.023,1,170,198,521,460,90,192
14,29848,119.104,20.261,1,169,198,521,460,90,192
15,29848,119.522,20.159,1,169,198,521,460,90,192
16,29848,119.062,19.901,1,168,198,521,460,90,192
17,29848,117.642,19.635,1,166,198,521,460,90,192
18,29848,116.278,18.895,1,164,198,521,460,90,192
19,29848,115.735,18.576,1,164,198,521,460,90,192
20,29848,114.935,18.394,1,165,198,521,460,90,192
21,29848,113.371,17.874,1,165,198,521,460,90,192
22,29848,112.539,17.530,1,165,198,521,460,90,192
23,29848,111.389,17.053,1,162,198,521,460,90,192
24,29848,110.238,16.592,1,159,198,521,460,90,192
25,29848,109.266,16.317,1,153,198,521,460,90,192
26,29848,108.485,16.044,1,150,198,521,460,90,192
27,29848,108.482,16.049,1,150,198,521,460,90,192
28,29848,109.138,16.169,1,151,198,521,460,90,192
29,29848,108.981,15.844,1,154,198,521,460,90,192
30,29848,108.079,15.545,1,153,198,521,460,90,192
31,29848,106.300,15.458,1,141,198,521,460,90,192
32,29848,105.124,15.076,1,139,198,521,460,90,192
33,29848,105.110,15.072,1,135,198,521,460,90,192
34,29848,104.820,15.092,1,133,198,521,460,90,192
35,29848,104.751,15.124,1,134,198,521,460,90,192
36,29848,104.524,15.276,1,134,198,521,460,90,192
37,29848,103.960,15.552,1,135,198,521,460,90,192
38,29848,103.716,15.608,1,134,198,521,460,90,192
39,29848,105.957,16.791,1,153,198,521,460,90,192
40,29848,111.218,18.867,1,165,198,521,460,90,192
41,29848,112.633,19.093,1,164,198,521,460,90,192
42,29848,113.626,19.392,1,173,198,521,460,90,192
43,29848,113.630,19.390,1,173,198,521,460,90,192
44,29848,115.553,20.047,1,178,198,521,460,90,192
45,29848,116.659,20.081,1,173,198,521,460,90,192
46,29848,116.657,20.049,1,173,198,521,460,90,192
47,29848,116.655,19.685,1,169,198,521,460,90,192
48,29848,116.529,19.403,1,169,198,521,460,90,192
49,29848,116.123,19.216,1,165,198,521,460,90,192
50,29848,115.770,19.029,1,166,198,521,460,90,192
51,29848,115.251,18.875,1,167,198,521,460,90,192
52,29848,114.876,18.706,1,165,198,521,460,90,192
53,29848,114.626,18.429,1,162,198,521,460,90,192
54,29848,113.894,18.121,1,165,198,521,460,90,192
55,29848,112.249,17.576,1,160,198,521,460,90,192
56,29848,111.244,17.242,1,161,198,521,460,90,192
57,29848,110.691,17.041,1,159,198,521,460,90,192
58,29848,110.694,17.037,1,159,198,521,460,90,192
59,29848,109.997,17.060,1,162,198,521,460,90,192
60,29848,109.938,17.102,1,162,198,521,460,90,192
61,29848,109.508,17.079,1,161,198,521,460,90,192
62,29848,108.978,17.050,1,159,198,521,460,90,192
63,29848,107.927,16.894,1,158,198,521,460,90,192
64,29848,107.395,16.753,1,152,198,521,460,90,192
65,29848,106.483,16.390,1,145,198,521,460,90,192
66,29848,105.804,16.343,1,141,198,521,460,90,192
67,29848,104.903,16.089,1,138,198,521,460,90,192
68,29848,104.085,16.065,1,136,198,521,460,90,192
69,29848,103.427,15.910,1,133,198,521,460,90,192
70,29848,103.278,15.860,1,133,198,521,460,90,192
71,29848,103.076,15.898,1,131,198,521,460,90,192
72,29848,102.816,15.816,1,130,198,521,460,90,192
73,29848,102.531,15.830,1,130,198,521,460,90,192
74,29848,102.530,15.827,1,130,198,521,460,90,192
75,29848,101.911,16.129,1,131,198,521,460,90,192
76,29848,102.205,16.372,1,134,198,521,460,90,192
77,29848,104.793,17.517,1,151,198,521,460,90,192
78,29848,108.152,19.042,1,160,198,521,460,90,192
79,29848,110.251,19.775,1,162,198,521,460,90,192
80,29848,111.187,20.178,1,175,198,521,460,90,192
81,29848,112.503,20.340,1,172,198,521,460,90,192
82,29848,113.402,20.640,1,171,198,521,460,90,192
83,29848,113.023,20.420,1,168,198,521,460,90,192
84,29848,112.447,19.865,1,166,198,521,460,90,192
85,29848,112.243,19.793,1,166,198,521,460,90,192
86,29848,112.118,19.731,1,163,198,521,460,90,192
87,29848,111.808,19.406,1,162,198,521,460,90,192
88,29848,111.304,18.941,1,161,198,521,460,90,192
89,29848,110.898,18.845,1,162,198,521,460,90,192
90,29848,110.900,18.848,1,162,198,521,460,90,192
91,29848,110.563,18.650,0,160,198,521,460,90,192
92,29848,109.890,18.278,0,158,198,521,460,90,192
93,29848,109.364,18.100,0,158,198,521,460,90,192
94,29848,108.517,17.846,0,157,198,521,460,90,192
95,29848,107.915,17.542,0,158,198,521,460,90,192
96,29848,107.634,17.320,0,156,198,521,460,90,192
97,29848,106.926,17.081,0,159,198,521,460,90,192
98,29848,106.172,16.944,0,155,198,521,460,90,192
99,29848,105.554,17.040,0,152,198,521,460,90,192
100,29848,104.798,16.815,0,148,198,521,460,90,192
101,29848,104.007,16.432,0,140,198,521,460,90,192
102,29848,103.094,16.388,0,133,198,521,460,90,192
103,29848,101.781,16.780,0,134,198,521,460,90,192
104,29848,101.017,16.538,0,134,198,521,460,90,192
105,29848,101.008,16.536,0,134,198,521,460,90,192
106,29848,100.985,16.123,0,128,198,521,460,90,192
107,29848,100.078,16.298,0,128,198,521,460,90,192
108,29848,99.798,16.400,0,129,198,521,460,90,192
109,29848,99.582,16.494,0,126,198,521,460,90,192
110,29848,99.222,16.562,0,127,198,521,460,90,192
111,29848,99.199,16.542,0,129,198,521,460,90,192
112,29848,99.145,16.489,0,127,198,521,460,90,192
113,29848,98.938,16.548,0,127,198,521,460,90,192
114,29848,98.547,16.764,0,126,198,521,460,90,192
115,29848,98.445,16.716,0,139,198,521,460,90,192
116,29848,98.232,16.813,0,136,198,521,460,90,192
117,29848,98.272,16.909,0,136,198,521,460,90,192
118,29848,98.250,16.974,0,138,198,521,460,90,192
119,29848,98.705,17.378,0,141,198,521,460,90,192
120,29848,100.747,18.032,0,140,198,521,460,90,192
121,29848,100.758,18.017,0,140,198,521,460,90,192
122,29848,102.466,18.154,0,149,198,521,460,90,192
123,29848,103.682,18.446,0,157,198,521,460,90,192
124,29848,105.002,18.820,0,158,198,521,460,90,192
125,29848,105.537,18.818,0,155,198,521,460,90,192
126,29848,105.949,18.858,0,155,198,521,460,90,192
127,29848,106.087,19.040,0,156,198,521,460,90,192
128,29848,106.108,19.016,0,154,198,521,460,90,192
129,29848,106.517,18.533,0,152,198,521,460,90,192
130,29848,106.728,18.319,0,155,198,521,460,90,192
131,29848,106.777,18.019,0,153,198,521,460,90,192
132,29848,106.719,17.848,0,151,198,521,460,90,192
133,29848,106.450,17.627,0,153,198,521,460,90,192
134,29848,106.172,17.450,0,152,198,521,460,90,192
135,29848,105.988,17.391,0,157,198,521,460,90,192
136,29848,105.924,17.437,0,158,198,521,460,90,192
137,29848,105.920,17.445,0,158,198,521,460,90,192
138,29848,105.897,17.414,0,159,198,521,460,90,192
139,29848,105.613,17.335,0,155,198,521,460,90,192
140,29848,105.425,17.199,0,149,198,521,460,90,192
141,29848,104.764,17.214,0,142,198,521,460,90,192
142,29848,103.828,17.131,0,140,198,521,460,90,192
143,29848,103.253,16.892,0,138,198,521,460,90,192
144,29848,102.778,16.759,0,138,198,521,460,90,192
145,29848,102.045,16.733,0,135,198,521,460,90,192
146,29848,101.447,16.783,0,132,198,521,460,90,192
147,29848,100.770,16.728,0,128,198,521,460,90,192
148,29848,100.082,16.474,0,125,198,521,460,90,192
149,29848,99.389,16.443,0,125,198,521,460,90,192
150,29848,98.982,16.476,0,124,198,521,460,90,192
151,29848,98.837,16.458,0,124,198,521,460,90,192
152,29848,98.837,16.462,0,124,198,521,460,90,192
153,29848,98.834,16.461,0,124,198,521,460,90,192
154,29848,98.512,16.387,0,123,198,521,460,90,192
155,29848,98.268,16.502,0,126,198,521,460,90,192
156,29848,98.322,16.618,0,126,198,521,460,90,192
157,29848,98.439,16.780,0,129,198,521,460,90,192
158,29848,98.303,16.961,0,142,198,521,460,90,192
159,29848,98.037,17.115,0,153,198,521,460,90,192
160,29848,97.868,17.174,0,154,198,521,460,90,192
161,29848,98.122,17.169,0,158,198,521,460,90,192
162,29848,98.856,17.494,0,160,198,521,460,90,192
163,29848,99.306,17.650,0,162,198,521,460,90,192
164,29848,99.818,17.793,0,162,198,521,460,90,192
165,29848,100.368,18.148,0,162,198,521,460,90,192
166,29848,101.701,18.716,0,162,198,521,460,90,192
167,29848,103.434,19.422,0,161,198,521,460,90,192
168,29848,103.437,19.417,0,160,198,521,460,90,192
169,29848,104.543,19.676,0,164,198,521,460,90,192
170,29848,105.943,19.548,0,166,198,521,460,90,192
171,29848,106.788,19.787,0,166,198,521,460,90,192
172,29848,107.047,19.974,0,164,198,521,460,90,192
173,29848,107.492,20.043,0,163,198,521,460,90,192
174,29848,107.472,20.036,0,161,198,521,460,90,192
175,29848,106.953,19.836,0,160,198,521,460,90,192
