 ,Area(Ventricle),Mean(Ventricle),StdDev(Ventricle),Min(Ventricle),Max(Ventricle),Feret(Ventricle),FeretX(Ventricle),FeretY(Ventricle),FeretAngle(Ventricle),MinFeret(Ventricle)
1,29848,127.183,28.625,20,186,198,521,460,90,192
2,29848,125.238,28.072,20,185,198,521,460,90,192
3,29848,123.593,27.287,20,185,198,521,460,90,192
4,29848,122.379,26.919,19,184,198,521,460,90,192
5,29848,119.268,26.380,19,178,198,521,460,90,192
6,29848,117.677,25.961,19,179,198,521,460,90,192
7,29848,116.041,25.551,19,174,198,521,460,90,192
8,29848,112.825,25.135,19,170,198,521,460,90,192
9,29848,109.461,24.406,18,167,198,521,460,90,192
10,29848,107.168,23.707,17,163,198,521,460,90,192
11,29848,104.946,23.061,17,158,198,521,460,90,192
12,29848,103.038,22.651,17,157,198,521,460,90,192
13,29848,101.342,22.347,17,155,198,521,460,90,192
14,29848,97.807,22.334,17,155,198,521,460,90,192
15,29848,97.812,22.324,17,155,198,521,460,90,192
16,29848,97.140,22.475,17,155,198,521,460,90,192
17,29848,102.045,25.794,18,167,198,521,460,90,192
18,29848,111.946,28.717,18,190,198,521,460,90,192
19,29848,121.967,29.561,20,190,198,521,460,90,192
20,29848,130.204,32.785,19,215,198,521,460,90,192
21,29848,136.458,35.475,20,224,198,521,460,90,192
22,29848,140.301,36.610,20,230,198,521,460,90,192
23,29848,141.644,37.608,20,233,198,521,460,90,192
24,29848,141.055,37.416,20,232,198,521,460,90,192
25,29848,140.246,36.834,20,231,198,521,460,90,192
26,29848,137.095,36.325,20,228,198,521,460,90,192
27,29848,134.061,35.646,20,225,198,521,460,90,192
28,29848,134.641,35.226,20,224,198,521,460,90,192
29,29848,132.073,34.180,20,219,198,521,460,90,192
30,29848,131.035,33.642,20,214,198,521,460,90,192
31,29848,129.238,33.611,20,210,198,521,460,90,192
32,29848,127.878,33.082,19,205,198,521,460,90,192
33,29848,126.052,32.592,20,199,198,521,460,90,192
34,29848,124.519,31.949,19,192,198,521,460,90,192
35,29848,121.935,31.648,19,190,198,521,460,90,192
36,29848,122.069,31.246,19,190,198,521,460,90,192
37,29848,121.239,31.050,19,189,198,521,460,90,192
38,29848,119.127,30.606,18,189,198,521,460,90,192
39,29848,118.185,30.095,19,187,198,521,460,90,192
40,29848,116.685,29.512,18,182,198,521,460,90,192
41,29848,113.520,28.870,17,181,198,521,460,90,192
42,29848,112.948,28.460,18,179,198,521,460,90,192
43,29848,113.023,28.448,18,178,198,521,460,90,192
44,29848,111.319,27.645,18,178,198,521,460,90,192
45,29848,109.463,26.932,19,176,198,521,460,90,192
46,29848,108.681,26.421,17,172,198,521,460,90,192
47,29848,107.745,25.674,17,167,198,521,460,90,192
48,29848,105.850,24.885,17,163,198,521,460,90,192
49,29848,103.739,24.254,17,162,198,521,460,90,192
50,29848,101.895,23.552,16,159,198,521,460,90,192
51,29848,101.467,23.202,17,158,198,521,460,90,192
52,29848,99.569,22.659,16,155,198,521,460,90,192
53,29848,98.055,22.333,16,154,198,521,460,90,192
54,29848,96.890,22.279,16,155,198,521,460,90,192
55,29848,95.921,22.466,15,154,198,521,460,90,192
56,29848,98.766,25.108,15,168,198,521,460,90,192
57,29848,107.687,27.542,15,188,198,521,460,90,192
58,29848,117.785,29.898,18,189,198,521,460,90,192
59,29848,128.523,35.115,18,223,198,521,460,90,192
60,29848,130.607,36.328,18,227,198,521,460,90,192
61,29848,131.821,36.957,19,230,198,521,460,90,192
62,29848,132.057,36.689,19,230,198,521,460,90,192
63,29848,131.471,36.021,19,227,198,521,460,90,192
64,29848,131.210,35.391,20,225,198,521,460,90,192
65,29848,130.669,34.918,20,222,198,521,460,90,192
66,29848,130.376,34.251,19,220,198,521,460,90,192
67,29848,130.496,34.081,19,219,198,521,460,90,192
68,29848,130.250,33.664,19,216,198,521,460,90,192
69,29848,130.595,33.105,20,212,198,521,460,90,192
70,29848,130.600,33.107,20,212,198,521,460,90,192
71,29848,130.345,32.785,20,211,198,521,460,90,192
72,29848,130.168,32.500,20,208,198,521,460,90,192
73,29848,129.520,32.227,20,206,198,521,460,90,192
74,29848,128.582,31.480,21,202,198,521,460,90,192
75,29848,127.618,31.358,20,197,198,521,460,90,192
76,29848,125.845,31.017,19,196,198,521,460,90,192
77,29848,124.165,30.646,19,189,198,521,460,90,192
78,29848,122.635,30.013,19,187,198,521,460,90,192
79,29848,120.422,29.319,19,186,198,521,460,90,192
80,29848,119.135,29.012,19,188,198,521,460,90,192
81,29848,117.866,28.711,18,186,198,521,460,90,192
82,29848,117.277,28.379,18,185,198,521,460,90,192
83,29848,116.121,27.800,18,182,198,521,460,90,192
84,29848,114.367,27.249,18,178,198,521,460,90,192
85,29848,113.284,26.940,18,180,198,521,460,90,192
86,29848,111.193,26.449,18,175,198,521,460,90,192
87,29848,110.070,26.020,17,175,198,521,460,90,192
88,29848,108.899,25.444,17,173,198,521,460,90,192
89,29848,107.972,24.938,17,167,198,521,460,90,192
90,29848,106.933,24.302,17,164,198,521,460,90,192
91,29848,104.405,23.591,18,162,198,521,460,90,192
92,29848,103.519,23.363,18,159,198,521,460,90,192
93,29848,102.398,23.172,17,159,198,521,460,90,192
94,29848,100.578,23.114,17,159,198,521,460,90,192
95,29848,98.908,23.109,17,158,198,521,460,90,192
96,29848,97.340,23.321,16,157,198,521,460,90,192
97,29848,97.338,23.326,16,157,198,521,460,90,192
98,29848,100.450,25.989,16,176,198,521,460,90,192
99,29848,108.404,28.371,17,190,198,521,460,90,192
100,29848,117.393,30.821,17,193,198,521,460,90,192
101,29848,125.124,33.553,17,218,198,521,460,90,192
102,29848,128.965,36.166,17,225,198,521,460,90,192
103,29848,131.356,37.751,17,232,198,521,460,90,192
104,29848,131.017,37.398,18,231,198,521,460,90,192
105,29848,130.791,36.946,18,229,198,521,460,90,192
106,29848,130.055,36.369,18,226,198,521,460,90,192
107,29848,128.818,35.715,17,224,198,521,460,90,192
108,29848,128.355,35.308,17,222,198,521,460,90,192
109,29848,127.839,34.888,17,221,198,521,460,90,192
110,29848,127.207,34.409,18,216,198,521,460,90,192
111,29848,126.914,34.156,18,214,198,521,460,90,192
112,29848,127.191,34.045,18,214,198,521,460,90,192
113,29848,126.750,33.752,18,208,198,521,460,90,192
114,29848,126.780,33.302,17,205,198,521,460,90,192
115,29848,127.252,32.857,18,204,198,521,460,90,192
116,29848,125.447,32.302,18,198,198,521,460,90,192
117,29848,124.860,32.009,18,193,198,521,460,90,192
118,29848,124.493,31.668,17,192,198,521,460,90,192
119,29848,123.220,31.181,17,190,198,521,460,90,192
120,29848,122.617,30.742,17,188,198,521,460,90,192
121,29848,121.203,30.341,17,186,198,521,460,90,192
122,29848,120.481,30.040,18,186,198,521,460,90,192
123,29848,120.003,29.398,18,185,198,521,460,90,192
124,29848,120.001,29.401,18,185,198,521,460,90,192
125,29848,118.046,28.630,18,185,198,521,460,90,192
126,29848,116.400,27.941,18,180,198,521,460,90,192
127,29848,115.082,27.324,18,176,198,521,460,90,192
128,29848,112.455,26.316,18,171,198,521,460,90,192
129,29848,110.747,25.757,18,169,198,521,460,90,192
130,29848,110.181,25.206,18,167,198,521,460,90,192
131,29848,108.710,24.278,18,163,198,521,460,90,192
132,29848,106.855,23.577,17,159,198,521,460,90,192
133,29848,106.010,23.128,17,158,198,521,460,90,192
134,29848,105.082,22.753,17,158,198,521,460,90,192
135,29848,103.031,22.367,18,158,198,521,460,90,192
136,29848,101.238,22.353,17,156,198,521,460,90,192
137,29848,100.472,22.607,17,158,198,521,460,90,192
138,29848,100.448,22.997,16,162,198,521,460,90,192
139,29848,105.456,24.573,16,177,198,521,460,90,192
140,29848,114.642,26.287,17,182,198,521,460,90,192
141,29848,125.341,29.709,18,193,198,521,460,90,192
142,29848,131.578,33.655,19,220,198,521,460,90,192
143,29848,133.392,35.346,19,230,198,521,460,90,192
144,29848,135.090,36.636,19,233,198,521,460,90,192
145,29848,135.631,36.988,18,236,198,521,460,90,192
146,29848,134.883,36.377,18,234,198,521,460,90,192
147,29848,134.933,35.259,18,231,198,521,460,90,192
148,29848,133.773,34.553,18,227,198,521,460,90,192
149,29848,133.752,34.252,18,227,198,521,460,90,192
150,29848,133.458,33.562,20,224,198,521,460,90,192
151,29848,133.683,33.053,20,221,198,521,460,90,192
152,29848,133.686,33.054,20,221,198,521,460,90,192
153,29848,133.811,32.539,20,218,198,521,460,90,192
154,29848,133.071,31.770,20,214,198,521,460,90,192
155,29848,132.416,30.837,20,207,198,521,460,90,192
156,29848,131.103,30.121,20,199,198,521,460,90,192
157,29848,129.818,29.171,20,192,198,521,460,90,192
158,29848,128.912,28.658,20,189,198,521,460,90,192
159,29848,127.300,28.241,20,188,198,521,460,90,192
160,29848,125.493,27.793,20,185,198,521,460,90,192
161,29848,123.962,26.850,20,183,198,521,460,90,192
162,29848,122.660,26.164,20,180,198,521,460,90,192
163,29848,121.301,25.669,20,180,198,521,460,90,192
164,29848,118.529,24.794,20,177,198,521,460,90,192
165,29848,115.918,24.162,19,172,198,521,460,90,192
166,29848,113.643,23.746,19,167,198,521,460,90,192
167,29848,110.707,22.506,19,160,198,521,460,90,192
168,29848,109.033,22.048,19,161,198,521,460,90,192
169,29848,107.405,21.574,19,157,198,521,460,90,192
170,29848,105.231,21.195,19,156,198,521,460,90,192
171,29848,104.394,20.840,19,155,198,521,460,90,192
172,29848,103.493,20.825,19,153,198,521,460,90,192
173,29848,101.937,21.042,19,153,198,521,460,90,192
174,29848,101.993,22.011,18,160,198,521,460,90,192
175,29848,108.727,25.807,18,183,198,521,460,90,192
176,29848,117.421,26.570,19,191,198,521,460,90,192
177,29848,126.078,28.752,19,207,198,521,460,90,192
178,29848,132.673,31.896,20,224,198,521,460,90,192
179,29848,132.672,31.896,20,224,198,521,460,90,192
180,29848,135.216,33.825,20,231,198,521,460,90,192
181,29848,137.160,35.215,20,236,198,521,460,90,192
182,29848,137.446,35.325,20,236,198,521,460,90,192
183,29848,137.862,34.968,20,236,198,521,460,90,192
184,29848,137.956,34.820,20,234,198,521,460,90,192
185,29848,136.532,34.518,20,229,198,521,460,90,192
186,29848,135.793,33.796,20,227,198,521,460,90,192
187,29848,135.860,33.158,20,225,198,521,460,90,192
188,29848,133.496,32.148,20,220,198,521,460,90,192
189,29848,133.521,31.728,20,217,198,521,460,90,192
190,29848,132.942,31.237,20,216,198,521,460,90,192
191,29848,130.209,29.787,20,203,198,521,460,90,192
192,29848,129.713,29.304,20,199,198,521,460,90,192
193,29848,128.360,28.850,20,195,198,521,460,90,192
194,29848,127.041,28.304,20,190,198,521,460,90,192
195,29848,125.904,27.670,20,189,198,521,460,90,192
196,29848,124.108,26.981,20,187,198,521,460,90,192
197,29848,121.856,26.385,20,183,198,521,460,90,192
198,29848,119.011,25.894,20,181,198,521,460,90,192
199,29848,118.872,25.555,20,179,198,521,460,90,192
200,29848,116.766,24.663,19,175,198,521,460,90,192
201,29848,114.275,23.668,20,167,198,521,460,90,192
202,29848,112.774,23.058,20,165,198,521,460,90,192
203,29848,110.751,22.288,19,161,198,521,460,90,192
204,29848,108.297,21.809,20,160,198,521,460,90,192
205,29848,108.350,21.758,20,160,198,521,460,90,192
206,29848,108.344,21.760,19,160,198,521,460,90,192
207,29848,106.201,21.261,19,158,198,521,460,90,192
208,29848,105.295,21.206,20,156,198,521,460,90,192
209,29848,102.230,20.393,19,154,198,521,460,90,192
210,29848,100.641,20.536,18,153,198,521,460,90,192
211,29848,101.614,22.305,18,159,198,521,460,90,192
212,29848,108.206,26.074,19,179,198,521,460,90,192
213,29848,116.759,26.697,19,194,198,521,460,90,192
214,29848,124.582,28.419,19,199,198,521,460,90,192
215,29848,131.768,31.039,21,218,198,521,460,90,192
216,29848,133.482,32.671,20,223,198,521,460,90,192
217,29848,134.973,33.315,19,229,198,521,460,90,192
218,29848,135.966,33.257,20,230,198,521,460,90,192
219,29848,135.401,32.418,20,228,198,521,460,90,192
220,29848,135.405,32.117,20,227,198,521,460,90,192
221,29848,135.246,31.550,21,224,198,521,460,90,192
222,29848,135.046,31.368,21,222,198,521,460,90,192
223,29848,135.066,31.060,21,220,198,521,460,90,192
224,29848,135.242,30.802,21,219,198,521,460,90,192
225,29848,134.911,30.399,21,215,198,521,460,90,192
226,29848,134.386,30.045,21,212,198,521,460,90,192
227,29848,133.406,29.519,21,205,198,521,460,90,192
228,29848,132.535,29.350,21,203,198,521,460,90,192
229,29848,130.889,29.013,21,199,198,521,460,90,192
230,29848,130.232,28.701,21,193,198,521,460,90,192
231,29848,129.545,28.365,21,190,198,521,460,90,192
232,29848,129.075,27.744,20,190,198,521,460,90,192
233,29848,129.070,27.743,20,190,198,521,460,90,192
234,29848,128.379,27.150,20,187,198,521,460,90,192
235,29848,126.242,25.795,19,181,198,521,460,90,192
236,29848,125.406,25.332,21,179,198,521,460,90,192
