ID,estado,period,CV
1,15C,First_30s,7.485297402967774
1,15C,Last_30s,12.781420673420138
1,1C,First_30s,7.494219990169018
1,1C,Last_30s,3.8386100866307586
1,29C,First_30s,5.401172094103118
1,29C,Last_30s,7.24178781711307
1,36C,First_30s,13.634801607807647
1,36C,Last_30s,15.496323900259931
1,8C,First_30s,5.317760593391418
1,8C,Last_30s,9.577481128031787
1,ENVCOLD,First_30s,7.288696627855192
1,ENVCOLD,Last_30s,8.267760832283514
1,ENVHEAT,First_30s,2.453266907313262
1,ENVHEAT,Last_30s,3.700839947920421
1,WATCOLD,First_30s,14.951429224858712
1,WATCOLD,Last_30s,14.579998506511341
1,WATHEAT,First_30s,11.812174206423204
1,WATHEAT,Last_30s,12.385055586502398
2,15C,First_30s,7.250010922605213
2,15C,Last_30s,14.199007989782416
2,1C,First_30s,12.072559745094706
2,1C,Last_30s,9.220812670756844
2,29C,First_30s,5.508572158422874
2,29C,Last_30s,3.3823619486598138
2,36C,First_30s,37.84369064502662
2,36C,Last_30s,16.237976320958303
2,ENVCOLD,First_30s,6.020360287233418
2,ENVCOLD,Last_30s,4.289854209681768
2,WATCOLD,First_30s,5.940885257860085
2,WATCOLD,Last_30s,15.345691313277252
3,15C,First_30s,7.517306663274279
3,15C,Last_30s,4.771772134422153
3,29C,First_30s,9.13633304284042
3,29C,Last_30s,7.064731808413442
3,36C,First_30s,12.082754764635483
3,36C,Last_30s,6.860877488396398
3,8C,First_30s,7.558181936787056
3,8C,Last_30s,4.624616564584495
3,ENVCOLD,First_30s,13.124827615605222
3,ENVCOLD,Last_30s,8.291486503788438
3,ENVHEAT,First_30s,4.750593824228057
3,ENVHEAT,Last_30s,3.0675694490461543
3,WATCOLD,First_30s,6.157397194391559
3,WATCOLD,Last_30s,11.168322625746107
3,WATHEAT,First_30s,5.409423974781682
3,WATHEAT,Last_30s,7.774374098089662
4,15C,First_30s,8.139576111709147
4,15C,Last_30s,6.404206716829779
4,1C,First_30s,7.804678309473065
4,1C,Last_30s,17.223100932938927
4,29C,First_30s,2.8028227342687453
4,29C,Last_30s,7.3423094370683835
4,8C,First_30s,9.048333816598623
4,8C,Last_30s,9.467257707975127
4,ENVHEAT,First_30s,3.4726688390125657
4,ENVHEAT,Last_30s,5.1490697983127225
4,WATCOLD,First_30s,7.837803533143853
4,WATCOLD,Last_30s,14.9824851640074
4,WATHEAT,First_30s,5.9572748968392135
4,WATHEAT,Last_30s,5.856450762637906
5,1C,First_30s,16.234563964898207
5,1C,Last_30s,16.895214677827948
5,29C,First_30s,2.6146533710705673
5,29C,Last_30s,1.584718967724541
5,36C,First_30s,54.352636325302214
5,36C,Last_30s,40.77401295679638
