Block,time,value,ID,estado
Cold,0.8004446914952752,85.58077694486106,1,ENVCOLD
Cold,2.1345191773207337,81.73308409128794,1,ENVCOLD
Cold,3.501945525291829,83.28669062135613,1,ENVCOLD
Cold,4.836020011117287,83.06232493753134,1,ENVCOLD
Cold,6.203446359088383,83.57843121772459,1,ENVCOLD
Cold,7.604224569205114,78.08391657504606,1,ENVCOLD
Cold,8.804891606448027,75.2735710811262,1,ENVCOLD
Cold,10.072262367982212,75.58709838414136,1,ENVCOLD
Cold,11.306281267370762,74.8954487756125,1,ENVCOLD
Cold,12.54030016675931,76.77193749791782,1,ENVCOLD
Cold,13.807670928293495,77.9892320839582,1,ENVCOLD
Cold,15.041689827682045,79.28014046310211,1,ENVCOLD
Cold,16.275708727070594,80.78582775279045,1,ENVCOLD
Cold,17.609783212896055,79.58104687656173,1,ENVCOLD
Cold,19.010561423012785,81.62745457271363,1,ENVCOLD
Cold,20.411339633129515,81.62925107446283,1,ENVCOLD
Cold,21.57865480822679,82.39634902548738,1,ENVCOLD
Cold,23.11284046692607,83.27890584707643,1,ENVCOLD
Cold,24.546970539188436,85.34672217224723,1,ENVCOLD
Cold,25.84769316286826,83.23408165917057,1,ENVCOLD
Cold,26.9816564758199,82.61088622355489,1,ENVCOLD
Cold,28.249027237354085,82.088358487423,1,ENVCOLD
Cold,29.549749861033906,81.7642609695153,1,ENVCOLD
Cold,30.85047248471373,80.83008768948872,1,ENVCOLD
Cold,32.15119510839355,81.47498933866406,1,ENVCOLD
Cold,33.551973318510285,85.52964947526247,1,ENVCOLD
Cold,34.752640355753194,84.80169115442287,1,ENVCOLD
Cold,36.15341856586993,83.38354949192082,1,ENVCOLD
Cold,37.28738187882157,83.88004847576215,1,ENVCOLD
Cold,38.621456364647024,83.43403128435793,1,ENVCOLD
Cold,39.88882712618121,83.37525427286366,1,ENVCOLD
Cold,41.18954974986104,83.36425627186418,1,ENVCOLD
Cold,42.45692051139522,89.46234239546902,1,ENVCOLD
Cold,43.65758754863813,89.24270701316019,1,ENVCOLD
Cold,44.924958310172315,106.21020956188582,1,ENVCOLD
Cold,46.259032795997776,108.93082995169082,1,ENVCOLD
Cold,47.693162868260146,111.67338137597876,1,ENVCOLD
Cold,49.160644802668145,106.26476635015821,1,ENVCOLD
Cold,50.46136742634797,101.53953253373312,1,ENVCOLD
Cold,51.59533073929961,104.93686676661669,1,ENVCOLD
Cold,52.82934963868816,107.41371787439623,1,ENVCOLD
Cold,54.096720400222345,111.47815342328857,1,ENVCOLD
Cold,55.430794886047806,109.96672736964874,1,ENVCOLD
Cold,56.76486937187326,109.63655319007164,1,ENVCOLD
Cold,58.23235130628127,106.91951984008018,1,ENVCOLD
Cold,59.79988882712618,113.23440247795835,1,ENVCOLD
Cold,1.1673151750972763,104.63554596035341,2,ENVCOLD
Cold,2.4013340744858254,102.15115239047154,2,ENVCOLD
Cold,3.8354641467481936,98.2235117108113,2,ENVCOLD
Cold,5.269594219010561,98.10460692986841,2,ENVCOLD
Cold,6.770428015564202,98.4712334166251,2,ENVCOLD
Cold,8.071150639244024,99.55964870897893,2,ENVCOLD
Cold,9.405225125069483,100.39397694486094,2,ENVCOLD
Cold,10.772651473040577,95.27917891054487,2,ENVCOLD
Cold,12.106725958866036,96.85997731134448,2,ENVCOLD
Cold,13.307392996108948,96.41010064967539,2,ENVCOLD
Cold,14.608115619788771,103.13794439446943,2,ENVCOLD
Cold,15.908838243468594,101.9885448275864,2,ENVCOLD
Cold,17.209560867148415,104.47052387139767,2,ENVCOLD
Cold,18.443579766536963,103.50828275862072,2,ENVCOLD
Cold,19.777654252362424,103.57994012993511,2,ENVCOLD
Cold,21.078376876042245,102.38324544394489,2,ENVCOLD
Cold,22.34574763757643,100.67998354156265,2,ENVCOLD
Cold,23.57976653696498,99.72624780942864,2,ENVCOLD
Cold,24.91384102279044,104.8366410461436,2,ENVCOLD
Cold,26.147859922178988,104.39908745627193,2,ENVCOLD
Cold,27.415230683713173,104.49738923871406,2,ENVCOLD
Cold,28.849360755975543,97.60404171247717,2,ENVCOLD
Cold,30.35019455252918,92.85318614026329,2,ENVCOLD
Cold,31.817676486937188,92.83549971680827,2,ENVCOLD
Cold,33.118399110617005,93.59614865900384,2,ENVCOLD
Cold,34.4858254585881,94.12072390471428,2,ENVCOLD
Cold,35.886603668704836,93.93100039980024,2,ENVCOLD
Cold,37.18732629238466,93.3100548059305,2,ENVCOLD
Cold,38.521400778210115,93.29524481092793,2,ENVCOLD
Cold,39.92217898832685,93.4930332833583,2,ENVCOLD
Cold,41.289605336297946,91.25162565383978,2,ENVCOLD
Cold,42.6236798221234,92.18243871397648,2,ENVCOLD
Cold,44.02445803224013,92.39762542062306,2,ENVCOLD
Cold,45.42523624235687,91.4129479926704,2,ENVCOLD
Cold,46.69260700389105,93.46859776778285,2,ENVCOLD
Cold,47.99332962757087,90.55155185740475,2,ENVCOLD
Cold,49.2940522512507,92.56634715975365,2,ENVCOLD
Cold,50.56142301278488,93.37921962352162,2,ENVCOLD
Cold,51.82879377431907,94.24773030151599,2,ENVCOLD
Cold,53.129516397998884,93.55393193403314,2,ENVCOLD
Cold,54.43023902167871,91.96556005330666,2,ENVCOLD
Cold,55.6976097832129,90.69203468265876,2,ENVCOLD
Cold,56.998332406892715,92.43739536898214,2,ENVCOLD
Cold,58.29905503057254,91.13030624687674,2,ENVCOLD
Cold,59.56642579210673,91.730916475096,2,ENVCOLD
Cold,0.8671484157865481,91.28732277194763,5,ENVCOLD
Cold,2.16787103946637,91.92198520739643,5,ENVCOLD
Cold,3.501945525291829,92.08067379643539,5,ENVCOLD
Cold,4.735964424680378,92.8025732467102,5,ENVCOLD
Cold,5.936631461923291,94.34173669831765,5,ENVCOLD
Cold,7.2040022234574765,97.99604657671173,5,ENVCOLD
Cold,8.67148415786548,104.75580916208581,5,ENVCOLD
Cold,9.805447470817121,99.94949252040661,5,ENVCOLD
Cold,11.006114508060033,95.59880286523415,5,ENVCOLD
Cold,12.0733740967204,92.11625583874739,5,ENVCOLD
Cold,13.10728182323513,95.74575475595536,5,ENVCOLD
Cold,14.174541411895497,95.27484860902885,5,ENVCOLD
Cold,15.2751528627015,93.18679976678341,5,ENVCOLD
Cold,16.30906058921623,94.22141842412152,5,ENVCOLD
Cold,17.34296831573096,93.15412523738162,5,ENVCOLD
Cold,18.37687604224569,93.47793200066681,5,ENVCOLD
Cold,19.377431906614785,96.08031844077986,5,ENVCOLD
Cold,20.37798777098388,94.77666616691671,5,ENVCOLD
Cold,21.47859922178988,100.73098327502942,5,ENVCOLD
Cold,22.545858810450248,102.78732433783111,5,ENVCOLD
Cold,23.713173985547527,104.35309461935735,5,ENVCOLD
Cold,24.81378543635353,104.97161439280387,5,ENVCOLD
Cold,25.914396887159533,105.16058584041353,5,ENVCOLD
Cold,26.9816564758199,103.15454695985359,5,ENVCOLD
Cold,28.082267926625903,100.76875032483791,5,ENVCOLD
Cold,29.14952751528627,96.86677198067648,5,ENVCOLD
Cold,30.250138966092273,94.61193176744996,5,ENVCOLD
Cold,31.450806003335185,99.54683421622526,5,ENVCOLD
Cold,32.88493607559755,96.6626086623357,5,ENVCOLD
Cold,34.08560311284047,93.64937274695994,5,ENVCOLD
Cold,35.21956642579211,89.90130534732658,5,ENVCOLD
Cold,36.28682601445247,88.84339120439789,5,ENVCOLD
Cold,37.35408560311284,88.9110836914877,5,ENVCOLD
Cold,38.521400778210115,88.886992903548375,5,ENVCOLD
Cold,39.65536409116176,89.32644177911055,5,ENVCOLD
Cold,40.8893829905503,92.49910638014329,5,ENVCOLD
Cold,42.023346303501945,92.25617764451111,5,ENVCOLD
Cold,43.15730961645358,93.50433203398315,5,ENVCOLD
Cold,44.05780989438577,89.08945297351354,5,ENVCOLD
Cold,44.924958310172315,87.95083898050981,5,ENVCOLD
Cold,45.85881045025014,88.12418080959529,5,ENVCOLD
Cold,46.82601445247359,86.18560653006845,5,ENVCOLD
Cold,47.75986659255142,85.83646076961534,5,ENVCOLD
Cold,48.693718732629236,85.7040029318675,5,ENVCOLD
Cold,49.62757087270706,84.1210005330668,5,ENVCOLD
Cold,50.594774874930515,85.753881092787,5,ENVCOLD
Cold,51.52862701500834,85.37613106779945,5,ENVCOLD
Cold,52.495831017231794,84.70665220722985,5,ENVCOLD
Cold,53.463035019455255,84.92645260702997,5,ENVCOLD
Cold,54.43023902167871,85.57322512077309,5,ENVCOLD
Cold,55.39744302390217,84.60140483091799,5,ENVCOLD
Cold,56.39799888827126,85.41938004331189,5,ENVCOLD
Cold,57.36520289049472,83.887597667833,5,ENVCOLD
Cold,58.332406892718176,84.62842155588888,5,ENVCOLD
Cold,59.29961089494164,83.6413246376813,5,ENVCOLD
Cold,0.1000555864369094,113.47571120357593,6,ENVCOLD
Cold,1.434130072262368,111.07115042478773,6,ENVCOLD
Cold,2.868260144524736,113.78618683991388,6,ENVCOLD
Cold,4.302390216787104,112.68947876061995,6,ENVCOLD
Cold,5.769872151195108,113.47053589871756,6,ENVCOLD
Cold,7.270705947748749,114.56434642678727,6,ENVCOLD
Cold,8.738187882156753,123.01535885390652,6,ENVCOLD
Cold,10.47248471372985,127.3390740296522,6,ENVCOLD
Cold,11.939966648137855,126.46921389305379,6,ENVCOLD
Cold,13.307392996108948,123.30658537398023,6,ENVCOLD
Cold,14.70817120622568,120.55432010661424,6,ENVCOLD
Cold,16.108949416342412,118.32275752123981,6,ENVCOLD
Cold,17.476375764313506,115.09873343328363,6,ENVCOLD
Cold,19.04391328515842,116.8869868732306,6,ENVCOLD
Cold,20.578098943857697,119.50707539563558,6,ENVCOLD
Cold,22.045580878265703,119.55345440613077,6,ENVCOLD
Cold,23.346303501945524,111.59151457604614,6,ENVCOLD
Cold,24.613674263479712,113.08043311677508,6,ENVCOLD
Cold,25.914396887159533,109.63952630351532,6,ENVCOLD
Cold,27.181767648693718,111.1187932033985,6,ENVCOLD
Cold,28.48249027237354,108.56986420123293,6,ENVCOLD
Cold,29.71650917176209,117.45688082625406,6,ENVCOLD
Cold,30.983879933296276,110.89010874562756,6,ENVCOLD
Cold,32.217898832684824,107.50638324171298,6,ENVCOLD
Cold,33.451917732073376,113.5781737131439,6,ENVCOLD
Cold,34.68593663146192,111.37395305680548,6,ENVCOLD
Cold,35.886603668704836,110.0831649841746,6,ENVCOLD
Cold,37.15397443023902,107.78247596201903,6,ENVCOLD
Cold,38.45469705391884,108.11982865234079,6,ENVCOLD
Cold,39.65536409116176,105.87272453773129,6,ENVCOLD
Cold,40.92273485269594,104.52530004997537,6,ENVCOLD
Cold,42.15675375208449,106.44525357321366,6,ENVCOLD
Cold,43.42412451361868,106.58171334332847,6,ENVCOLD
Cold,44.75819899944413,107.27168862235553,6,ENVCOLD
Cold,46.15897720956087,111.95263021822439,6,ENVCOLD
Cold,47.62645914396887,112.09188985507282,6,ENVCOLD
Cold,48.99388549193996,113.90574272863573,6,ENVCOLD
Cold,50.19455252918288,110.22262238880592,6,ENVCOLD
Cold,51.32851584213452,110.96580263201747,6,ENVCOLD
Cold,52.46247915508616,113.54687029818442,6,ENVCOLD
Cold,53.62979433018344,112.65797081459296,6,ENVCOLD
Cold,54.76375764313507,120.0948776944864,6,ENVCOLD
