ID,estado,period,mean_HR,condition
14,WATCOLD,Last_30s,53.92556398359188,cold
15,15C,First_30s,42.26201079807968,cold
15,15C,Last_30s,45.28995015937041,cold
15,1C,First_30s,50.69069771312434,cold
15,1C,Last_30s,59.49443696196362,cold
15,8C,First_30s,54.238867059740286,cold
15,8C,Last_30s,58.883120473702654,cold
15,ENVCOLD,First_30s,42.54847948772106,cold
15,ENVCOLD,Last_30s,45.77506436842822,cold
15,WATCOLD,First_30s,49.12207226203937,cold
15,WATCOLD,Last_30s,51.04051382500299,cold
16,15C,First_30s,63.3043257782468,cold
16,15C,Last_30s,64.07340567290717,cold
16,1C,First_30s,35.18727042585135,cold
16,1C,Last_30s,39.52857613073461,cold
16,8C,First_30s,34.98949153788851,cold
16,8C,Last_30s,37.15341026333201,cold
16,WATCOLD,First_30s,66.51052289410184,cold
16,WATCOLD,Last_30s,64.80700716479002,cold
17,15C,First_30s,32.73521377294962,cold
17,15C,Last_30s,33.23864770056055,cold
17,1C,First_30s,32.51004541908298,cold
17,1C,Last_30s,37.24543097741137,cold
17,8C,First_30s,60.64219097275231,cold
17,8C,Last_30s,73.53537257841604,cold
17,ENVCOLD,First_30s,49.74779444728294,cold
17,ENVCOLD,Last_30s,52.07692436240231,cold
17,WATCOLD,First_30s,58.254761152362654,cold
17,WATCOLD,Last_30s,57.87545889167548,cold
18,15C,First_30s,44.163304848639115,cold
18,15C,Last_30s,50.366477790310206,cold
18,1C,First_30s,26.63473739716887,cold
18,1C,Last_30s,37.99806112326838,cold
18,8C,First_30s,41.31030196978871,cold
18,8C,Last_30s,49.09579152376444,cold
18,ENVCOLD,First_30s,36.394416140510494,cold
18,ENVCOLD,Last_30s,36.2040821446782,cold
18,WATCOLD,First_30s,53.207294111749526,cold
18,WATCOLD,Last_30s,54.09495211878065,cold
19,15C,First_30s,37.03750390939522,cold
19,15C,Last_30s,38.26785810951775,cold
20,15C,First_30s,61.816955927858906,cold
20,15C,Last_30s,63.39975171312177,cold
20,1C,First_30s,36.23954007951029,cold
20,1C,Last_30s,43.02073746664549,cold
20,8C,First_30s,50.572868489272544,cold
20,8C,Last_30s,50.60877161607566,cold
20,ENVCOLD,First_30s,52.52152861642954,cold
20,ENVCOLD,Last_30s,54.794037623234665,cold
21,15C,First_30s,59.74093803902683,cold
21,15C,Last_30s,64.37936305987242,cold
21,1C,First_30s,36.21381974297036,cold
21,1C,Last_30s,45.7998437622179,cold
21,8C,First_30s,48.830677664710514,cold
21,8C,Last_30s,50.64391042210238,cold
21,ENVCOLD,First_30s,42.59840068036215,cold
21,ENVCOLD,Last_30s,44.741628548439145,cold
22,15C,First_30s,84.83824099665061,cold
22,15C,Last_30s,79.0009633519869,cold
22,1C,First_30s,29.022104356647557,cold
22,1C,Last_30s,31.498900233104763,cold
22,8C,First_30s,32.39839059298069,cold
22,8C,Last_30s,38.51266603985667,cold
22,ENVCOLD,First_30s,46.19995481550471,cold
22,ENVCOLD,Last_30s,44.56045208337145,cold
22,WATCOLD,First_30s,52.97781102194523,cold
22,WATCOLD,Last_30s,52.91208095574611,cold
23,15C,First_30s,75.52444752140404,cold
23,15C,Last_30s,75.74910449895576,cold
23,1C,First_30s,36.69619462227378,cold
23,1C,Last_30s,38.24300809452394,cold
23,8C,First_30s,40.51572694655446,cold
23,8C,Last_30s,47.86698632610918,cold
23,ENVCOLD,First_30s,42.864738379997355,cold
23,ENVCOLD,Last_30s,45.50975482600894,cold
24,15C,First_30s,38.243837350587704,cold
24,15C,Last_30s,43.93959142453525,cold
24,1C,First_30s,17.542436476239047,cold
24,1C,Last_30s,19.031395585880723,cold
24,ENVCOLD,First_30s,45.90376885745949,cold
24,ENVCOLD,Last_30s,47.07654182522603,cold
25,15C,First_30s,65.86538395415855,cold
25,15C,Last_30s,74.43968228794317,cold
25,8C,First_30s,58.4496512227043,cold
25,8C,Last_30s,65.09328815665856,cold
25,ENVCOLD,First_30s,50.473418777211016,cold
25,ENVCOLD,Last_30s,50.853111777931254,cold
25,WATCOLD,First_30s,52.01639014615186,cold
25,WATCOLD,Last_30s,52.06005381680986,cold
26,15C,First_30s,66.95208091775018,cold
26,15C,Last_30s,73.21821359106987,cold
26,8C,First_30s,47.66916667351291,cold
26,8C,Last_30s,64.90930138864508,cold
27,15C,First_30s,43.633193191549815,cold
27,15C,Last_30s,54.56660591441046,cold
27,1C,First_30s,28.319630880044965,cold
27,1C,Last_30s,29.10886607506894,cold
27,8C,First_30s,48.201215192116805,cold
27,8C,Last_30s,60.008864221379454,cold
27,ENVCOLD,First_30s,53.06612767803565,cold
27,ENVCOLD,Last_30s,55.77301695543809,cold
27,WATCOLD,First_30s,65.04249525426798,cold
27,WATCOLD,Last_30s,66.72615890270048,cold
28,15C,First_30s,65.62656503464498,cold
28,15C,Last_30s,77.5189473472974,cold
28,1C,First_30s,35.03656320872225,cold
28,1C,Last_30s,36.41274884903953,cold
28,8C,First_30s,46.10161031761625,cold
28,8C,Last_30s,50.65737482584999,cold
28,ENVCOLD,First_30s,45.12673050214771,cold
28,ENVCOLD,Last_30s,43.27232480132629,cold
28,WATCOLD,First_30s,49.61176817520664,cold
28,WATCOLD,Last_30s,48.17200594137442,cold
29,15C,First_30s,52.6233370704106,cold
29,15C,Last_30s,54.97439960396977,cold
29,1C,First_30s,22.133313100032574,cold
29,1C,Last_30s,24.96923108109899,cold
29,8C,First_30s,52.639953464332024,cold
29,8C,Last_30s,54.36230721750836,cold
29,ENVCOLD,First_30s,40.847600746866355,cold
29,ENVCOLD,Last_30s,40.62397209348454,cold
29,WATCOLD,First_30s,43.44090061614371,cold
29,WATCOLD,Last_30s,43.251911340076525,cold
30,ENVCOLD,First_30s,51.38265803876523,cold
30,ENVCOLD,Last_30s,51.655776356414236,cold
30,WATCOLD,First_30s,59.6478240406404,cold
30,WATCOLD,Last_30s,59.37757387725526,cold
31,ENVCOLD,First_30s,49.32201547963129,cold
31,ENVCOLD,Last_30s,50.24626160421826,cold
31,WATCOLD,First_30s,48.5869877915064,cold
31,WATCOLD,Last_30s,50.7658201187613,cold
1,29C,First_30s,63.07825773955339,heat
1,29C,Last_30s,63.01022211920237,heat
1,36C,First_30s,58.26846834958738,heat
1,36C,Last_30s,52.74800879239018,heat
1,ENVHEAT,First_30s,54.16760420951598,heat
1,ENVHEAT,Last_30s,55.24484402937617,heat
1,WATHEAT,First_30s,56.07936053526029,heat
1,WATHEAT,Last_30s,58.7995804747252,heat
2,29C,First_30s,54.41979211994037,heat
2,29C,Last_30s,53.207097527563214,heat
2,36C,First_30s,42.531708857376906,heat
2,36C,Last_30s,56.767327930590994,heat
3,29C,First_30s,45.90371611106713,heat
3,29C,Last_30s,45.018266131578045,heat
3,36C,First_30s,62.458712026144774,heat
3,36C,Last_30s,64.03422731900208,heat
3,ENVHEAT,First_30s,53.53373839917199,heat
3,ENVHEAT,Last_30s,53.658704006293874,heat
3,WATHEAT,First_30s,48.98538350370705,heat
3,WATHEAT,Last_30s,46.6704116630032,heat
4,29C,First_30s,49.12000604723717,heat
4,29C,Last_30s,51.15220318159783,heat
4,ENVHEAT,First_30s,51.95429502446966,heat
4,ENVHEAT,Last_30s,57.78756751425498,heat
4,WATHEAT,First_30s,75.89953978758327,heat
4,WATHEAT,Last_30s,81.49907789453388,heat
5,29C,First_30s,36.821494559998946,heat
5,29C,Last_30s,35.40549032282596,heat
5,36C,First_30s,44.06687155131549,heat
5,36C,Last_30s,45.12875196514428,heat
5,ENVHEAT,First_30s,53.9244532428356,heat
5,ENVHEAT,Last_30s,55.54064439803291,heat
5,WATHEAT,First_30s,57.448814478579884,heat
5,WATHEAT,Last_30s,60.326262296210146,heat
6,36C,First_30s,53.64204246138061,heat
6,36C,Last_30s,59.94216887144669,heat
7,29C,First_30s,44.71035918849593,heat
7,29C,Last_30s,44.93595908904549,heat
7,36C,First_30s,43.10915689604686,heat
7,36C,Last_30s,39.10290930889722,heat
7,WATHEAT,First_30s,62.441273000430044,heat
7,WATHEAT,Last_30s,63.034379323302275,heat
8,36C,First_30s,62.62105219791538,heat
8,36C,Last_30s,61.87523756973187,heat
8,ENVHEAT,First_30s,70.71917208513756,heat
8,ENVHEAT,Last_30s,71.9735843321109,heat
8,WATHEAT,First_30s,63.66735356665633,heat
8,WATHEAT,Last_30s,64.64775700054255,heat
9,29C,First_30s,48.517890131463055,heat
9,29C,Last_30s,52.11314447459827,heat
9,36C,First_30s,77.6720502601762,heat
9,36C,Last_30s,70.71128224593441,heat
9,ENVHEAT,First_30s,41.65951078202256,heat
9,ENVHEAT,Last_30s,48.70165131006946,heat
9,WATHEAT,First_30s,49.783673629505394,heat
9,WATHEAT,Last_30s,48.757909642435955,heat
10,29C,First_30s,51.98097283099528,heat
10,29C,Last_30s,50.64424368648494,heat
10,ENVHEAT,First_30s,50.502187648878824,heat
10,ENVHEAT,Last_30s,55.47157403543124,heat
10,WATHEAT,First_30s,67.6554038125432,heat
10,WATHEAT,Last_30s,64.05477278518495,heat
11,29C,First_30s,40.86036937506088,heat
11,29C,Last_30s,44.14110348082652,heat
11,36C,First_30s,62.75436573118076,heat
11,36C,Last_30s,61.81523223782896,heat
11,WATHEAT,First_30s,46.047794337669174,heat
11,WATHEAT,Last_30s,47.88913495985865,heat
12,29C,First_30s,59.39119797460141,heat
12,29C,Last_30s,55.9522731465509,heat
12,36C,First_30s,57.491141159307176,heat
12,36C,Last_30s,56.335786826882526,heat
12,WATHEAT,First_30s,76.38774390078738,heat
12,WATHEAT,Last_30s,75.70052333017435,heat
13,29C,First_30s,65.3596370526882,heat
13,29C,Last_30s,48.57589428783667,heat
13,36C,First_30s,52.63800549613785,heat
13,36C,Last_30s,44.64613910697714,heat
13,ENVHEAT,First_30s,35.920147639090644,heat
13,ENVHEAT,Last_30s,36.658836373787295,heat
13,WATHEAT,First_30s,47.2757182158192,heat
13,WATHEAT,Last_30s,47.89889677197086,heat
14,29C,First_30s,56.89288184235419,heat
14,29C,Last_30s,60.172350061055724,heat
14,36C,First_30s,71.02704047489185,heat
14,36C,Last_30s,60.01596282213454,heat
14,ENVHEAT,First_30s,65.37885914015321,heat
14,ENVHEAT,Last_30s,66.95215706407488,heat
14,WATHEAT,First_30s,56.948434337044155,heat
14,WATHEAT,Last_30s,52.7307615478,heat
15,29C,First_30s,49.70937140976849,heat
15,29C,Last_30s,48.15971938387313,heat
15,36C,First_30s,79.74605878057251,heat
15,36C,Last_30s,74.01840290269824,heat
15,ENVHEAT,First_30s,65.84170599443735,heat
15,ENVHEAT,Last_30s,68.80382661782662,heat
15,WATHEAT,First_30s,61.132010663188986,heat
15,WATHEAT,Last_30s,65.7435030678134,heat
16,29C,First_30s,47.27337024157717,heat
16,29C,Last_30s,54.74563199221946,heat
16,36C,First_30s,68.74492269454389,heat
16,36C,Last_30s,48.5847950135892,heat
16,ENVHEAT,First_30s,54.775472463843485,heat
16,ENVHEAT,Last_30s,59.73089739012096,heat
16,WATHEAT,First_30s,54.06841815293828,heat
